station,feature,rmse,changepoint_prior_scale,changepoint_range,seasonality_mode,mean_value
고흥연안5_연안,투명도[m],1.273078976,0.3,0.9,additive,1.6558864
고흥연안5_연안,화학적산소요구량[mg/L],0.427338178,0.3,0.8,additive,1.247498461
고흥연안5_연안,염분[psu],1.027881102,0.7,0.8,multiplicative,32.73600181
고흥연안5_연안,클로로필-a[μg/L],0.516529236,0.7,0.9,additive,1.217641167
고흥연안5_연안,총인[μg/L],0.348529883,0.7,0.8,additive,20.21219564
고흥연안5_연안,수온[℃],1.186687082,0.3,0.9,additive,17.17588369
고흥연안5_연안,총질소[μg/L],0.435322479,0.3,0.9,multiplicative,158.9801772
고흥연안5_연안,용존산소[mg/L],0.48594118,0.7,0.9,additive,8.398944122
구룡포연안1_연안,투명도[m],1.145644829,0.7,0.8,multiplicative,6.780403816
구룡포연안1_연안,화학적산소요구량[mg/L],0.523535307,0.5,0.9,additive,1.316589288
구룡포연안1_연안,염분[psu],1.845737609,0.5,0.9,additive,34.64478397
구룡포연안1_연안,클로로필-a[μg/L],0.287354919,0.3,0.8,multiplicative,1.265498753
구룡포연안1_연안,총인[μg/L],0.641899421,0.7,0.9,multiplicative,15.00600824
구룡포연안1_연안,수온[℃],0.641316891,0.7,0.9,multiplicative,16.03237133
구룡포연안1_연안,총질소[μg/L],0.578533435,0.7,0.9,multiplicative,183.1860451
구룡포연안1_연안,용존산소[mg/L],0.986136429,0.3,0.9,multiplicative,8.669212751
구룡포연안2_연안,투명도[m],1.024207561,0.3,0.9,multiplicative,7.032808832
구룡포연안2_연안,화학적산소요구량[mg/L],1.056847687,0.7,0.9,additive,1.362928239
구룡포연안2_연안,염분[psu],1.407257468,0.7,0.8,multiplicative,33.12525214
구룡포연안2_연안,클로로필-a[μg/L],2.336742803,0.3,0.9,multiplicative,0.608842345
구룡포연안2_연안,총인[μg/L],0.730267008,0.5,0.9,multiplicative,9.552915173
구룡포연안2_연안,수온[℃],0.715811456,0.7,0.9,multiplicative,16.15459725
구룡포연안2_연안,총질소[μg/L],0.325498339,0.7,0.9,multiplicative,162.4365278
구룡포연안2_연안,용존산소[mg/L],0.830533208,0.7,0.9,multiplicative,8.595481278
군산연안10_연안,투명도[m],0.632742669,0.7,0.9,multiplicative,1.0674464
군산연안10_연안,화학적산소요구량[mg/L],1.521413269,0.7,0.9,multiplicative,1.712103463
군산연안10_연안,염분[psu],3.919059839,0.5,0.9,multiplicative,31.76673412
군산연안10_연안,클로로필-a[μg/L],2.935178117,0.3,0.9,additive,4.406099948
군산연안10_연안,총인[μg/L],0.434754934,0.3,0.8,multiplicative,32.34822721
군산연안10_연안,수온[℃],0.867071346,0.3,0.8,additive,15.62353889
군산연안10_연안,총질소[μg/L],0.986280848,0.7,0.9,multiplicative,221.3813134
군산연안10_연안,용존산소[mg/L],0.7975527,0.7,0.9,additive,9.219125511
군산연안1_연안,투명도[m],0.476168613,0.7,0.9,multiplicative,0.492929472
군산연안1_연안,화학적산소요구량[mg/L],0.602385577,0.5,0.9,multiplicative,2.626225871
군산연안1_연안,염분[psu],1.1772436,0.5,0.8,additive,27.27902296
군산연안1_연안,클로로필-a[μg/L],0.769962325,0.3,0.8,multiplicative,-1.064815286
군산연안1_연안,총인[μg/L],0.251153063,0.3,0.8,multiplicative,82.88638575
군산연안1_연안,수온[℃],0.825446413,0.3,0.8,additive,15.73391602
군산연안1_연안,총질소[μg/L],0.571373093,0.7,0.9,multiplicative,1350.414219
군산연안1_연안,용존산소[mg/L],0.551395087,0.3,0.8,multiplicative,8.220386148
군산연안2_연안,투명도[m],0.585345064,0.3,0.8,additive,0.651827813
군산연안2_연안,화학적산소요구량[mg/L],0.417631016,0.5,0.9,multiplicative,2.259166476
군산연안2_연안,염분[psu],1.25636424,0.7,0.9,additive,30.64548967
군산연안2_연안,클로로필-a[μg/L],0.892576008,0.7,0.9,multiplicative,10.23932719
군산연안2_연안,총인[μg/L],0.359013186,0.7,0.8,multiplicative,79.42433626
군산연안2_연안,수온[℃],0.880155906,0.7,0.9,multiplicative,14.89487052
군산연안2_연안,총질소[μg/L],0.832354138,0.7,0.9,multiplicative,827.0838696
군산연안2_연안,용존산소[mg/L],0.859560727,0.3,0.8,multiplicative,8.513795656
군산연안3_연안,투명도[m],0.482359375,0.5,0.8,additive,1.128860977
군산연안3_연안,화학적산소요구량[mg/L],0.79341885,0.3,0.8,additive,2.336503917
군산연안3_연안,염분[psu],1.699217943,0.3,0.8,multiplicative,29.83917364
군산연안3_연안,클로로필-a[μg/L],0.563325202,0.7,0.8,multiplicative,0.00963216
군산연안3_연안,총인[μg/L],0.404095139,0.7,0.8,additive,55.12299672
군산연안3_연안,수온[℃],0.954224778,0.3,0.8,additive,15.11994608
군산연안3_연안,총질소[μg/L],0.611349776,0.3,0.8,additive,678.0744232
군산연안3_연안,용존산소[mg/L],0.759514142,0.7,0.9,multiplicative,8.663168717
군산연안4_연안,투명도[m],0.974739774,0.7,0.8,additive,1.254851418
군산연안4_연안,화학적산소요구량[mg/L],0.652196947,0.7,0.8,multiplicative,1.965599512
군산연안4_연안,염분[psu],1.302454803,0.7,0.8,multiplicative,29.97318414
군산연안4_연안,클로로필-a[μg/L],1.317662164,0.3,0.8,multiplicative,0.270279127
군산연안4_연안,총인[μg/L],0.567678492,0.3,0.8,multiplicative,50.13804503
군산연안4_연안,수온[℃],0.86602123,0.3,0.8,additive,14.93426429
